Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Alcohol License|Administration and Regulatory Affairs|Alcoholic beverage premises license |"03-16
Tex. Alco. Bev. Code ? 11.38"|TBD|TBD||N|N|N/A|2|3||TBD|TBD|0|0|||||
Alcohol Permit|Administration and Regulatory Affairs|Alcoholic beverage permit refunds processing fee|03-22(c)|25|25||Y|N|40544|1|"6
"||25|25|0|0|||||
Alcohol Permit|Administration and Regulatory Affairs|Alcoholic beverage premises permit|"03-17
Tex. Alco. Bev. Code ? 61.36"|TBD|TBD||N|N|N/A|1|3||TBD|TBD|0|0|||||
Alcohol Permit|Administration and Regulatory Affairs|Various fees for alcohol permits that have been issued by TABC|"03-17
Tex. Alco. Bev. Code ? 61.36"|Varies|Varies|||||1|3||Varies|Varies|0|0|||||
Animal Adoption|Administration and Regulatory Affairs|All animal Adoptions|06-138(1)|$45.00 - $75.00|$45.00 - $75.00||Y||40544|6|6||$45.00 - $75.00|$45.00 - $75.00|#VALUE!|#VALUE!|||||
Animal Control Fees|Administration and Regulatory Affairs|Impounded Animal - Boarding Fee |06-137(a)(3)|12|12||Y||40544|6|6||12|12|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impounded Animal - Rabies Vaccination Fee|06-137(a)(4)|20|20||Y||40544|6|6||20|20|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impounded Animal - Transfer of Sick Animal to Veterinary Hospital|06-137(f)|25|25||Y||40544|6|6||25|25|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impounded Animal - Veterinarian Fee Minimum|06-137(a)(5)|25|25||Y||40544|6|6||25|25|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impoundment Fee - Animals Other than Dogs and Cats and Neutered Dogs and Cats (1st Offense)|06-137(a)(1)a1|30|30||Y||40544|6|6||30|30|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impoundment Fee - Animals Other than Dogs and Cats and Neutered Dogs and Cats (2nd Offense)|06-137(a)(1)a2|55|55||Y||40544|6|6||55|55|0|0|||||
