Name/Type,Responsible Department,Permit/Fee Name and Description,Statutory Authority ," Fees As of Dec. 31, 2012 ","Fees As of
June 30, 2011","Fees As of April 1, 2012",Notes,Sec. 1-13 Increase Applies?,Sec. 1-14 Admin Fee Applies?,Increase Date,6 Dept. Assignment,"7 Dept. Assignment
",DECIMAL NOTES for PWE,"Fee As Jan 1, 2013",CPI increase 1.024214%in format #.####,Variance,% change,1.024214,PWE SEQUENCE Request,NOTE,Sequence Key,Change
Alcohol License,Administration and Regulatory Affairs,Alcoholic beverage premises license ,"03-16
Tex. Alco. Bev. Code ? 11.38", TBD ,TBD,,An amount equal to one-half the corresponding state license fee,N,N,N/A,2,3,,TBD,TBD,$0.00,0.00%,,,,,
Alcohol Permit,Administration and Regulatory Affairs,Alcoholic beverage permit refunds processing fee,03-22(c), 25.00 ,$25.00,,,Y,N,1-Jan,1,"6
",,$25.00,25.0000,$0.00,0.00%,,,,,
Alcohol Permit,Administration and Regulatory Affairs,Alcoholic beverage premises permit,"03-17
Tex. Alco. Bev. Code ? 61.36", TBD ,TBD,,An amount equal to one-half the corresponding state license fee,N,N,N/A,1,3,,TBD,TBD,$0.00,0.00%,,,,,
Alcohol Permit,Administration and Regulatory Affairs,Various fees for alcohol permits that have been issued by TABC,"03-17
Tex. Alco. Bev. Code ? 61.36", Varies , Varies ,,Capped by State Law,,,,1,3,,Varies,Varies,$0.00,0.00%,,,,,
Animal Adoption,Administration and Regulatory Affairs,All animal Adoptions,06-138(1), $45.00 - $75.00 ,$45.00 - $75.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$45.00 - $75.00,$45.00 - $75.00,#VALUE!,#VALUE!,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impounded Animal - Boarding Fee ,06-137(a)(3), 12.00 ,$12.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$12.00,12.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impounded Animal - Rabies Vaccination Fee,06-137(a)(4), 20.00 ,$20.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$20.00,20.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impounded Animal - Transfer of Sick Animal to Veterinary Hospital,06-137(f), 25.00 ,$25.00,,,Y,,1-Jan,6,6,,$25.00,25.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impounded Animal - Veterinarian Fee Minimum,06-137(a)(5), 25.00 ,$25.00,,,Y,,1-Jan,6,6,,$25.00,25.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impoundment Fee - Animals Other than Dogs and Cats and Neutered Dogs and Cats (1st Offense),06-137(a)(1)a1, 30.00 ,$30.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$30.00,30.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impoundment Fee - Animals Other than Dogs and Cats and Neutered Dogs and Cats (2nd Offense),06-137(a)(1)a2, 55.00 ,$55.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$55.00,55.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impoundment Fee - Animals Other than Dogs and Cats and Neutered Dogs and Cats (3rd Offense),06-137(a)(1)a3, 80.00 ,$80.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$80.00,80.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impoundment Fee - Unneutered (1st Offense),06-137(a)(1)b1, 60.00 ,$60.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$60.00,60.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impoundment Fee - Unneutered (2nd Offense),06-137(a)(1)b2, 85.00 ,$85.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$85.00,85.0000,$0.00,0.00%,,,,,
Animal Control Fees,Administration and Regulatory Affairs,Impoundment Fee - Unneutered (3rd Offense),06-137(a)(1)b3, 110.00 ,$110.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,6,,$110.00,110.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,Goat pen examination,06-11, 10.00 ,$10.00,,,Y,,1-Jan,6,6,,$10.00,10.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,Grandfathered wild animal special permit inspection fee,06-57, TBD ,TBD,,Director may impose an inspection fee to cover the cost of any inspection reasonably required in connection with the issuance of a special permit,Y,,1-Jan,6,6,,TBD,TBD,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,Keeping wild animals temporarily in city -  11 or more,06-55(c), 300.00 ,$300.00,,,Y,,1-Jan,6,6,,$300.00,300.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,Keeping wild animals temporarily in city -  5 or fewer,06-55(c), 100.00 ,$100.00,,,Y,,1-Jan,6,6,,$100.00,100.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,Keeping wild animals temporarily in city -  6-10,06-55(c), 200.00 ,$200.00,,,Y,,1-Jan,6,6,,$200.00,200.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,"Wild animals, daily boarding, per animal, MAXIMUM",06-56(b), 75.00 ,$75.00,, Director may promulgate a schedule of applicable fees for various types of wild animals,Y,,1-Jan,6,6,,$75.00,75.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,"Wild animals, daily boarding, per animal, MINIMUM",06-56(b), 5.00 ,$5.00,, Director may promulgate a schedule of applicable fees for various types of wild animals,Y,,1-Jan,6,6,,$5.00,5.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,"Wild animals, impoundment, per animal, MAXIMUM",06-56(b), 250.00 ,$250.00,, Director may promulgate a schedule of applicable fees for various types of wild animals,Y,,1-Jan,6,6,,$250.00,250.0000,$0.00,0.00%,,,,,
Animals,Administration and Regulatory Affairs,"Wild animals, impoundment, per animal, MINIMUM",06-56(b), 50.00 ,$50.00,, Director may promulgate a schedule of applicable fees for various types of wild animals,Y,,1-Jan,6,6,,$50.00,50.0000,$0.00,0.00%,,,,,
Boot Fees,Administration and Regulatory Affairs,Towing/storage and related fees,26-265(3), Actual Cost ,Actual Cost,," Fees, if the vehicle has been towed, in an amount established by the director, based upon the city's cost or upon the fees imposed by the city's contractors ", N , N ,,6,6,,Actual Cost,Actual Cost,$0.00,0.00%,,,,,
Boot Fees,Administration and Regulatory Affairs,Administrative Fee,26-265(1), 154.84 ,$150.00,,,Y,,,6,1,,$158.58,0.0154,$3.74,2.42%,,,,,
Boot Fees,Administration and Regulatory Affairs,Boot Fee,26-265(2), 154.84 ,$150.00,,,Y,N,,6,1,,$158.58,158.5892,$3.74,2.42%,,,,,
Burglar Alarm Permit,Administration and Regulatory Affairs,Residential Burglar w/Panic Alarm,11-62(a), 50.00 ,$50.00,,Capped by State Law,N,,N/A,1,3,,$50.00,50.0000,$0.00,0.00%,,,,,
Burglar Alarm Permit,Administration and Regulatory Affairs,Non Residential Burglar,11-62(b), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Burglar Alarm Permit,Administration and Regulatory Affairs,Non Residential Panic Alarm,11-62(b), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Burglar Alarm Permit,Administration and Regulatory Affairs,Residential Burglar Alarm Permit,11-62 (a), 36.13 ,$35.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,1,1,,$37.00,37.0048,$0.87,2.41%,,,,,
Certain traffic control duties Permit,Administration and Regulatory Affairs,"Traffic control permit, initial",45-453(b), 100.00 ,$100.00,,"The fee shall be reviewed and approved by ARA on an annual basis and adjusted to fully recover the city's costs, taking into account permit issuance and renewal costs, inspection and oversight services.
04-798, ? 2, 7-28-04",,,,1,6,,$100.00,100.0000,$0.00,0.00%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Annual Permit - Installments,46-211(a), 258.07 ,$250.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$264.32,264.3189,$6.25,2.42%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Annual Permit (per vehicle),46-211(a), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Prorated fee for less than one year (per month),46-211(a), 51.61 ,$50.00,,,Y,,1-Jan,1,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Replacement Fee,46-211(a), No charge ,No charge,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,No charge,#VALUE!,#VALUE!,#VALUE!,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Scheduled Ground Transp. Fee 10-12 Pass.,09-58(c), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Scheduled Ground Transp. Fee 13-30,09-58(c), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Scheduled Ground Transp. Fee 31 or more,09-58(c), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Charter Bus Permits,Administration and Regulatory Affairs,Temporary Permit (30 day max per vehicle),46-218, 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Coin Operated Machine Decal,Administration and Regulatory Affairs,Occupations tax for coin operated machines,44-83(b), 15.00 , $15.00 ,,Capped by State Law,,,,6,3,,$15.00,15.0000,$0.00,0.00%,,,,,
Contract Parking Rev. ,Administration and Regulatory Affairs,Bagged Meters and Contracts,26-182(b)(1), 15.48 ,$15.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$15.85,15.8548,$0.37,2.39%,,,,,
Dance License,Administration and Regulatory Affairs,Dance Halls Class A (<2days/wk),05-77(a)(2), 283.88 ,$275.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$290.75,290.7538,$6.87,2.42%,,,,,
Dance License,Administration and Regulatory Affairs,Dance Halls Class A (dance clubs or cabaret),05-77(a)(1), 774.22 ,$750.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$792.96,792.9669,$18.74,2.42%,,,,,
Dance License,Administration and Regulatory Affairs,Dance Halls Class B dancing schools,05-77(a)(3), 10.32 ,$10.00,,,Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Dance License,Administration and Regulatory Affairs,Dance Halls Class B rented for public/private dances,05-77(a)(4), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Dance License,Administration and Regulatory Affairs,Dance Halls Class C - Teenage Dance Halls - More than 3 nights per week,05-77(a)(4)(5), 123.87 ,$120.00,,,Y,,1-Jan,2,1,,$126.86,126.8693,$2.99,2.41%,,,,,
Dance License,Administration and Regulatory Affairs,Dance Halls Class C - Teenage Dance Halls -Not more than 3 nights per week,05-77(a)(4)(6), 61.93 ,$60.00,,,Y,,1-Jan,2,1,,$63.42,63.4295,$1.49,2.41%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Burglar Alarm After 3 False Alarms,11-68(a), 50.00 ,$50.00,,Capped by State Law,N,,N/A,6,3,,$50.00,50.0000,$0.00,0.00%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Burglar Alarm After 4 False Alarms,11-68(a), 50.00 ,$50.00,,Capped by State Law,N,,N/A,6,3,,$50.00,50.0000,$0.00,0.00%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Burglar Alarm After 5 False Alarms,11-68(a), 75.00 ,$75.00,,Capped by State Law,N,,N/A,6,3,,$75.00,75.0000,$0.00,0.00%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Burglar Alarm After 6 False Alarms,11-68(a), 75.00 ,$75.00,,Capped by State Law,N,,N/A,6,3,,$75.00,75.0000,$0.00,0.00%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Burglar Alarm After 7 False Alarms,11-68(a), 100.00 ,$100.00,,Capped by State Law,N,,N/A,6,3,,$100.00,100.0000,$0.00,0.00%,,,,,
